|                                         2024년도(9/23\~10/20까지)                                                               /                                        9/23\~9/29                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |
|                                         2/23\~3/1                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 2월 23일 | 당일예약 수 | 15 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 10 | ta침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 4 | ta추나 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 2 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.2/9\~ 2026.2/15 | 당일예약 수 | 139 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 97 | ta침 | 25 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 28 | ta추나 | 17 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 20 | 입원침 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         2/16\~2/22                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 2월 19일 | 당일예약 수 | 32 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 목 | 건보침 | 24 | ta침 | 8 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 3 | ta추나 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 4 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.1/12\~ 2026.1/18 | 당일예약 수 | 123 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 66 | ta침 | 39 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 18 | ta추나 | 37 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 14 | 입원침 | 19 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         1/19\~1/25                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 1월 19일 | 당일예약 수 | 17 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 14 | ta침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 6 | ta추나 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 3 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.1/26\~ 2026.2/1 | 당일예약 수 | 135 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 90 | ta침 | 30 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 27 | ta추나 | 19 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 16 | 입원침 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         2/2\~2/8                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 2월 2일 | 당일예약 수 | 14 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 12 | ta침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 6 | ta추나 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 4 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.1/19\~ 2026.1/25 | 당일예약 수 | 131 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 78 | ta침 | 36 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 20 | ta추나 | 31 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 19 | 입원침 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         1/26\~2/1                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 1월 26일 | 당일예약 수 | 18 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 14 | ta침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 5 | ta추나 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 2 | 입원침 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.4/13\~ 2026.4/19 | 당일예약 수 | 138 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 94 | ta침 | 21 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 20 | ta추나 | 20 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 23 | 입원침 | 9 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         4/20\~4/26                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 4월 20일 | 당일예약 수 | 19 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 11 | ta침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 3 | ta추나 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.4/6\~ 2026.4/12 | 당일예약 수 | 141 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 72 | ta침 | 32 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 23 | ta추나 | 27 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 21 | 입원침 | 24 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         4/13\~4/19                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 4월 13일 | 당일예약 수 | 17 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 12 | ta침 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 4 | ta추나 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 2 | 입원침 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.3/16\~ 2026.3/22 | 당일예약 수 | 128 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 73 | ta침 | 39 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 27 | ta추나 | 35 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 23 | 입원침 | 9 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         3/23\~3/29                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 3월 26일 | 당일예약 수 | 27 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 목 | 건보침 | 16 | ta침 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 7 | ta추나 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 5 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.3/23\~ 2026.3/29 | 당일예약 수 | 82 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 44 | ta침 | 26 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 17 | ta추나 | 20 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 10 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         3/30\~4/5                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 3월 30일 | 당일예약 수 | 20 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 14 | ta침 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 4 | ta추나 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 1 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.3/2\~ 2026.3/8 | 당일예약 수 | 149 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 86 | ta침 | 38 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 23 | ta추나 | 36 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 17 | 입원침 | 13 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         3/9\~3/15                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 3월 9일 | 당일예약 수 | 21 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 17 | ta침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 2 | ta추나 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 1 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.2/23\~ 2026.2/28 | 당일예약 수 | 123 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 75 | ta침 | 41 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 23 | ta추나 | 32 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 11 | 입원침 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         3/2\~3/8                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 3월 2일 | 당일예약 수 | 20 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 15 | ta침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 4 | ta추나 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 3 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.4/27\~ 2026.5/3 | 당일예약 수 | 131 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 86 | ta침 | 31 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 23 | ta추나 | 24 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 20 | 입원침 | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         5/4\~5/10                                                             |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 4일 | 당일예약 수 | 21 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 12 | ta침 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 4 | ta추나 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 4 | 입원침 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.5/4\~ 2026.5/10 | 당일예약 수 | 135 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 82 | ta침 | 32 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 30 | ta추나 | 29 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 15 | 입원침 | 15 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         5/11\~5/17                                                             |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 11일 | 당일예약 수 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 |  | ta침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
